State,Democratic,Republican
AL,1176394,693933
AK,190889,111025
AZ,1104294,893524
AR,572898,469953
CA,5509826,6745485
CO,1101255,1001732
CT,693826,857488
DE,171660,200152
DC,21256,202970
FL,3964522,3583544
GA,1914254,1366149
HI,194191,231708
ID,409235,181098
IL,2345946,2891550
IN,1479438,969011
IA,751957,741898
KS,736456,434993
KY,1069439,712733
LA,1102169,820299
MD,1024703,1334493
MA,1071109,1803800
MI,2313746,2479183
MN,1346695,1445014
MS,684981,458094
MO,1455713,1259171
MT,266063,173710
NV,418690,397190
NH,331237,340511
NJ,1670003,1911430
NM,376930,370942
NY,2962567,4314280
NC,1961166,1525849
ND,196651,111052
OH,2859768,2741167
OK,959792,503966
OR,866831,943163
PA,2793847,2938095
RI,169046,259765
SC,937974,661699
SD,232584,149244
TN,1384375,1036477
TX,4526917,2832704
UT,663742,241199
VT,121180,184067
VA,1716959,1454742
WA,1304894,1510201
WV,423778,326541
WI,1478120,1489504
WY,167629,70776
